HGNC ID (gene)	Approved symbol	Approved name	Previous symbols	Aliases	Chromosome
HGNC:5669	IGHV7-81	immunoglobulin heavy variable 7-81 (non-functional)			14q32.33
HGNC:5670	IGHVII-1-1	immunoglobulin heavy variable (II)-1-1 (pseudogene)		IGHV(II)-1-1	14q32.33
HGNC:5671	IGHVII-15-1	immunoglobulin heavy variable (II)-15-1 (pseudogene)		IGHV(II)-15-1	14q32.33
HGNC:5672	IGHVII-20-1	immunoglobulin heavy variable (II)-20-1 (pseudogene)		IGHV(II)-20-1	14q32.33
HGNC:5673	IGHVII-22-1	immunoglobulin heavy variable (II)-22-1 (pseudogene)		IGHV(II)-22-1	14q32.33
HGNC:5674	IGHVII-26-2	immunoglobulin heavy variable (II)-26-2 (pseudogene)		IGHV(II)-26-2	14q32.33
HGNC:5675	IGHVII-28-1	immunoglobulin heavy variable (II)-28-1 (pseudogene)		IGHV(II)-28-1	14q32.33
HGNC:5676	IGHVII-30-1	immunoglobulin heavy variable (II)-30-1 (pseudogene)		IGHV(II)-30-1	14q32.33
HGNC:52400	IGHVII-30-21	immunoglobulin heavy variable (II)-30-21 (pseudogene)		IGHV(II)-30-21	14q32.33
HGNC:5677	IGHVII-31-1	immunoglobulin heavy variable (II)-31-1 (pseudogene)		IGHV(II)-31-1	14q32.33 not on reference assembly
HGNC:5678	IGHVII-33-1	immunoglobulin heavy variable (II)-33-1 (pseudogene)		IGHV(II)-33-1	14q32.33
HGNC:5679	IGHVII-40-1	immunoglobulin heavy variable (II)-40-1 (pseudogene)		IGHV(II)-40-1	14q32.33
HGNC:5680	IGHVII-43-1	immunoglobulin heavy variable (II)-43-1 (pseudogene)		IGHV(II)-43-1	14q32.33
HGNC:5681	IGHVII-44-2	immunoglobulin heavy variable (II)-44-2 (pseudogene)		IGHV(II)-44-2	14q32.33
HGNC:5682	IGHVII-46-1	immunoglobulin heavy variable (II)-46-1 (pseudogene)		IGHV(II)-46-1	14q32.33
HGNC:5683	IGHVII-49-1	immunoglobulin heavy variable (II)-49-1 (pseudogene)		IGHV(II)-49-1	14q32.33
HGNC:5684	IGHVII-51-2	immunoglobulin heavy variable (II)-51-2 (pseudogene)		IGHV(II)-51-2	14q32.33
HGNC:5685	IGHVII-53-1	immunoglobulin heavy variable (II)-53-1 (pseudogene)		IGHV(II)-53-1	14q32.33
HGNC:5686	IGHVII-60-1	immunoglobulin heavy variable (II)-60-1 (pseudogene)		IGHV(II)-60-1	14q32.33
HGNC:5687	IGHVII-62-1	immunoglobulin heavy variable (II)-62-1 (pseudogene)		IGHV(II)-62-1	14q32.33
HGNC:5688	IGHVII-65-1	immunoglobulin heavy variable (II)-65-1 (pseudogene)		IGHV(II)-65-1	14q32.33
HGNC:5689	IGHVII-67-1	immunoglobulin heavy variable (II)-67-1 (pseudogene)		IGHV(II)-67-1	14q32.33
HGNC:5690	IGHVII-74-1	immunoglobulin heavy variable (II)-74-1 (pseudogene)		IGHV(II)-74-1	14q32.33
HGNC:5691	IGHVII-78-1	immunoglobulin heavy variable (II)-78-1 (pseudogene)		IGHV(II)-78-1	14q32.33
HGNC:5695	IGHVIII-2-1	immunoglobulin heavy variable (III)-2-1 (pseudogene)		IGHV(III)-2-1	14q32.33
HGNC:5702	IGHVIII-5-1	immunoglobulin heavy variable (III)-5-1 (pseudogene)		IGHV(III)-5-1	14q32.33
HGNC:5703	IGHVIII-5-2	immunoglobulin heavy variable (III)-5-2 (pseudogene)		IGHV(III)-5-2	14q32.33
HGNC:5692	IGHVIII-11-1	immunoglobulin heavy variable (III)-11-1 (pseudogene)		IGHV(III)-11-1	14q32.33
HGNC:5693	IGHVIII-13-1	immunoglobulin heavy variable (III)-13-1 (pseudogene)		IGHV(III)-13-1	14q32.33
HGNC:5694	IGHVIII-16-1	immunoglobulin heavy variable (III)-16-1 (pseudogene)		IGHV(III)-16-1	14q32.33
HGNC:5696	IGHVIII-22-2	immunoglobulin heavy variable (III)-22-2 (pseudogene)		IGHV(III)-22-2	14q32.33
HGNC:5697	IGHVIII-25-1	immunoglobulin heavy variable (III)-25-1 (pseudogene)		IGHV(III)-25-1	14q32.33
